GroupedDeckFaction,Name,Rarity,TotalCards,DecksWithCard,NormalizedTotalCards,DraftPack,Type,Faction,NumberOfDecks,PctDecksWithCard,AvgCopiesPerDeck
Rakano,Retribution,Common,41,27,41,FALSE,Spell,Justice,47,57.4,1.5
Rakano,Daring Maneuver,Common,36,26,36,FALSE,Fast Spell,Fire,47,55.3,1.4
Rakano,Streets Aflame,Common,36,25,36,FALSE,Fast Spell,Fire,47,53.2,1.4
Rakano,Blurreechaser,Common,34,22,34,FALSE,Unit,Fire,47,46.8,1.5
Rakano,Argenport Soldier,Common,30,22,33,TRUE,Unit,Justice,47,46.8,1.4
Rakano,Tauride Test Pilot,Common,33,24,33,FALSE,Unit,Justice,47,51.1,1.4
Rakano,Rebel Sharpshooter,Common,28,23,30.800000000000004,TRUE,Unit,Fire,47,48.9,1.2
Rakano,Backpacker's Machete,Common,28,21,30.800000000000004,TRUE,Weapon,Fire,47,44.7,1.3
Rakano,Steadfast Paladin,Common,30,20,30,FALSE,Unit,Justice,47,42.6,1.5
Rakano,Sharpened Reflex,Common,27,23,29.700000000000003,TRUE,Fast Spell,Justice,47,48.9,1.2
Rakano,Pyre Adept,Common,26,17,28.6,TRUE,Unit,Fire,47,36.2,1.5
Rakano,Char,Common,28,23,28,FALSE,Fast Spell,Fire,47,48.9,1.2
Rakano,Mining Team,Common,27,20,27,FALSE,Unit,Fire,47,42.6,1.4
Rakano,Brightmace Paladin,Common,24,18,26.400000000000002,TRUE,Unit,Justice,47,38.3,1.3
Rakano,Fall Short,Common,24,18,26.400000000000002,TRUE,Fast Spell,Justice,47,38.3,1.3
Rakano,High Alert,Common,26,18,26,FALSE,Fast Spell,Justice,47,38.3,1.4
Rakano,Roosting Warhawk,Common,25,21,25,FALSE,Unit,Justice,47,44.7,1.2
Rakano,Nimble Conscript,Common,25,19,25,FALSE,Unit,Fire,47,40.4,1.3
Rakano,Valkyrie Militant,Common,22,18,24.200000000000003,TRUE,Unit,Justice,47,38.3,1.2
Rakano,Copperhall Recruit,Common,21,17,23.1,TRUE,Unit,Justice,47,36.2,1.2
Rakano,Mithril Mace,Common,21,18,23.1,TRUE,Relic Weapon,Justice,47,38.3,1.2
Rakano,Soaring Guard,Common,21,15,23.1,TRUE,Unit,Justice,47,31.9,1.4
Rakano,Svetya's Faithful,Common,23,20,23,FALSE,Unit,Justice,47,42.6,1.1
Rakano,Gun Down,Common,20,17,22,TRUE,Spell,Fire,47,36.2,1.2
Rakano,Blinkwolf,Common,20,18,22,TRUE,Unit,Fire,47,38.3,1.1
Rakano,Auric Lookout,Common,22,15,22,FALSE,Unit,Justice,47,31.9,1.5
Rakano,Granite Coin,Common,21,14,21,FALSE,Power,Fire,47,29.8,1.5
Rakano,Clan Wallbreaker,Common,18,17,19.8,TRUE,Unit,Fire,47,36.2,1.1
Rakano,Horde Duelist,Common,19,15,19,FALSE,Unit,Fire,47,31.9,1.3
Rakano,Flash Grenade,Common,19,18,19,FALSE,Fast Spell,Justice,47,38.3,1.1
Rakano,Sizzleback Salamander,Common,16,14,16,FALSE,Unit,Fire,47,29.8,1.1
Rakano,Pummel,Common,14,13,15.400000000000002,TRUE,Fast Spell,Fire,47,27.7,1.1
Rakano,Oni Patrol,Common,15,13,15,FALSE,Unit,Fire,47,27.7,1.2
Rakano,Seek Power,Common,13,12,14.3,TRUE,Spell,Neutral,47,25.5,1.1
Rakano,Tinker,Common,13,11,14.3,TRUE,Spell,Justice,47,23.4,1.2
Rakano,Rallying Sergeant,Common,14,13,14,FALSE,Unit,NA,47,27.7,1.1
Rakano,Twin Sai,Common,13,13,13,FALSE,Relic Weapon,Justice,47,27.7,1
Rakano,Kosul Bladebarrier,Common,12,10,12,FALSE,Unit,Justice,47,21.3,1.2
Rakano,Grandfather's Axe,Common,10,9,11,TRUE,Weapon,Fire,47,19.1,1.1
Rakano,Emerald Coin,Common,11,10,11,FALSE,Power,Justice,47,21.3,1.1
Rakano,Kosul Curator,Common,10,9,10,FALSE,Unit,Justice,47,19.1,1.1
Rakano,Lingering Influence,Common,9,9,9.9,TRUE,Spell,Justice,47,19.1,1
Rakano,Manufacture,Common,9,7,9.9,TRUE,Spell,Fire,47,14.9,1.3
Rakano,Kosul Diplomat,Common,9,9,9.9,TRUE,Unit,Justice,47,19.1,1
Rakano,Warfront Missionary,Common,9,7,9,FALSE,Unit,Justice,47,14.9,1.3
Rakano,Spellstrike Sorceress,Common,8,6,8,FALSE,Unit,Justice,47,12.8,1.3
Rakano,Detain,Common,7,7,7.700000000000001,TRUE,Fast Spell,Justice,47,14.9,1
Rakano,Spire Spellsword,Common,7,6,7.700000000000001,TRUE,Unit,Justice,47,12.8,1.2
Rakano,Pit Fighter,Common,5,5,5.5,TRUE,Unit,Fire,47,10.6,1
Rakano,Downfall,Common,5,5,5.5,TRUE,Spell,Justice,47,10.6,1
Rakano,Iron Hook,Common,4,4,4.4,TRUE,Relic Weapon,Neutral,47,8.5,1
Rakano,Cobalt Coin,Common,4,4,4,FALSE,Power,Primal,47,8.5,1
